TABLE_NAME	COLUMN_NAME	DATA_TYPE	COLUMN_TYPE	IS_NULLABLE	COLUMN_KEY	COLUMN_DEFAULT
tbl_level	user_id	int	int	NO	MUL	NULL
tbl_level	category	int	int	NO	MUL	NULL
tbl_level	subcategory	int	int	NO	MUL	NULL
tbl_level	level	int	int	NO		NULL
tbl_maths_question	id	int	int	NO	PRI	NULL
tbl_maths_question	category	int	int	NO	MUL	NULL
tbl_maths_question	subcategory	int	int	NO	MUL	NULL
tbl_maths_question	language_id	int	int	NO	MUL	0
tbl_maths_question	image	varchar	varchar(512)	NO		NULL
tbl_maths_question	question	text	text	NO		NULL
tbl_maths_question	question_type	tinyint	tinyint	NO		NULL
tbl_maths_question	optiona	text	text	NO		NULL
tbl_maths_question	optionb	text	text	NO		NULL
tbl_maths_question	optionc	text	text	NO		NULL
tbl_maths_question	optiond	text	text	NO		NULL
tbl_maths_question	optione	text	text	YES		NULL
tbl_maths_question	answer	text	text	NO		NULL
tbl_maths_question	note	text	text	NO		NULL
tbl_month_week	id	int	int	NO	PRI	NULL
tbl_month_week	name	varchar	varchar(100)	NO		NULL
tbl_month_week	type	int	int	NO		NULL
tbl_multi_match	id	int	int	NO	PRI	NULL
tbl_multi_match	category	int	int	NO	MUL	NULL
tbl_multi_match	subcategory	int	int	NO	MUL	NULL
tbl_multi_match	language_id	int	int	NO	MUL	0
tbl_multi_match	image	varchar	varchar(250)	NO		NULL
tbl_multi_match	question	text	text	NO		NULL
tbl_multi_match	question_type	tinyint	tinyint	NO		NULL
tbl_multi_match	optiona	text	text	NO		NULL
tbl_multi_match	optionb	text	text	NO		NULL
tbl_multi_match	optionc	text	text	NO		NULL
tbl_multi_match	optiond	text	text	NO		NULL
tbl_multi_match	optione	text	text	YES		NULL
tbl_multi_match	answer_type	tinyint	tinyint	NO		NULL
tbl_multi_match	answer	text	text	NO		NULL
tbl_multi_match	level	int	int	NO		NULL
tbl_multi_match	note	text	text	NO		NULL
tbl_multi_match_level	id	int	int	NO	PRI	NULL
tbl_multi_match_level	user_id	int	int	NO	MUL	NULL
tbl_multi_match_level	category	int	int	NO	MUL	NULL
tbl_multi_match_level	subcategory	int	int	NO	MUL	NULL
tbl_multi_match_level	level	int	int	NO		NULL
tbl_multi_match_question_reports	id	int	int	NO	PRI	NULL
tbl_multi_match_question_reports	question_id	int	int	NO	MUL	NULL
tbl_multi_match_question_reports	user_id	int	int	NO	MUL	NULL
tbl_multi_match_question_reports	message	varchar	varchar(512)	NO		NULL
tbl_multi_match_question_reports	date	datetime	datetime	NO		NULL
tbl_notifications	id	int	int	NO	PRI	NULL
tbl_notifications	title	varchar	varchar(128)	NO		NULL
tbl_notifications	message	text	text	NO		NULL
tbl_notifications	users	varchar	varchar(8)	NO		all
tbl_notifications	user_id	longtext	longtext	YES		NULL
tbl_notifications	type	varchar	varchar(250)	NO		NULL
tbl_notifications	type_id	int	int	NO		NULL
tbl_notifications	image	varchar	varchar(128)	NO		NULL
tbl_notifications	date_sent	datetime	datetime	NO		NULL
tbl_payment_request	id	int	int	NO	PRI	NULL
tbl_payment_request	user_id	int	int	NO	MUL	NULL
tbl_payment_request	uid	text	text	NO		NULL
tbl_payment_request	payment_type	varchar	varchar(100)	NO		NULL
tbl_payment_request	payment_address	varchar	varchar(225)	NO		NULL
tbl_payment_request	payment_amount	varchar	varchar(20)	NO		NULL
tbl_payment_request	coin_used	varchar	varchar(20)	NO		NULL
tbl_payment_request	details	text	text	NO		NULL
tbl_payment_request	status	tinyint	tinyint	NO		NULL
tbl_payment_request	date	datetime	datetime	NO		NULL
tbl_payment_request	status_date	datetime	datetime	YES		NULL
tbl_question	id	int	int	NO	PRI	NULL
tbl_question	category	int	int	NO	MUL	NULL
tbl_question	subcategory	int	int	NO	MUL	NULL
tbl_question	language_id	int	int	NO	MUL	0
tbl_question	image	varchar	varchar(512)	NO		NULL
tbl_question	question	text	text	NO		NULL
tbl_question	question_type	tinyint	tinyint	NO		NULL
tbl_question	optiona	text	text	NO		NULL
tbl_question	optionb	text	text	NO		NULL
tbl_question	optionc	text	text	NO		NULL
tbl_question	optiond	text	text	NO		NULL
